Abilene Christian,Abilene Christian University
Academy of Art,Academy of Art University
Adams St.,Adams State University
Adelphi,Adelphi University
Adrian,Adrian College
Agnes Scott,Agnes Scott College
Air Force,Air Force Academy
Akron,University of Akron
Alabama-Huntsville,University of Alabama-Huntsville
Alabama,University of Alabama
Alabama A&M,Alabama A&M University
Alabama St.,Alabama State University
Alas. Anchorage,University of Alaska-Anchorage
Alas. Fairbanks,University of Alaska-Fairbanks
Albany (NY),University at Albany
Albany St. (GA),Albany State University
Albertus Magnus,Albertus Magnus College
Albion,Albion College
Albright,Albright College
Alcorn St.,Alcorn State University
Alderson Broaddus,Alderson-Broaddus University
Alfred,Alfred University
Alfred State,Alfred State College
Allegheny,Allegheny College
Allen,Allen
Alma,Alma College
Alvernia,Alvernia University
Alverno,Alverno College
Texas-Am-Corpus,Texas A&M-Corpus Christi
American,American University
American Int'l,American International College
American (PR),American University of Puerto Rico
Amherst,Amherst College
Anderson (IN),Anderson University (Ind.)
Anderson (SC),Anderson University (S.C.)
Angelo St.,Angelo State University
Anna Maria,Anna Maria College
Appalachian St.,Appalachian State University
Arcadia,Arcadia University
Arizona,University of Arizona
Arizona St.,Arizona State University
Ark. - Fort Smith,University of Arkansas-Fort Smith
Ark.-Monticello,University of Arkansas-Monticello
Ark.-Pine Bluff,University of Arkansas-Pine Bluff
Arkansas,University of Arkansas
Arkansas St.,Arkansas State University
Arkansas Tech,Arkansas Tech University
Armstrong,Armstrong State University
Army,Army West Point
Asbury University,Asbury University
Ashland,Ashland University
Assumption,Assumption College
Auburn-Montgomery,Auburn-Montgomery
Auburn,Auburn University
Augsburg,Augsburg University
Augustana (IL),Augustana College (IL)
Augustana (SD),Augustana University (SD)
Aurora,Aurora University
Austin,Austin College
Austin Peay,Austin Peay State University
Averett,Averett University
Azusa Pacific,Azusa Pacific University
Babson,Babson College
CSU Bakersfield,CSU Bakersfield
Baldwin Wallace,Baldwin Wallace University
Ball St.,Ball State University
Clarks Summit University,Clarks Summit University
Bard,Bard College
Barry,Barry University
Barton,Barton College
Baruch,Baruch College
Bates,Bates College
Bay Path,Bay Path University
Baylor,Baylor University
Becker,Becker College
Belhaven,Belhaven University
Bellarmine,Bellarmine University
Belmont,Belmont University
Belmont Abbey,Belmont Abbey College
Beloit,Beloit College
Bemidji St.,Bemidji State University
Benedict,Benedict College
Benedictine (IL),Benedictine University
Bentley,Bentley University
Berea College,Berea College
Berry,Berry College
Bethany Lutheran,Bethany Lutheran College
Bethany (WV),Bethany College
Bethel (MN),Bethel University
Bethune-Cookman,Bethune-Cookman University
Binghamton,Binghamton University
Biola,Biola University
Birmingham-So.,Birmingham-Southern College
Black Hills St.,Black Hills State University
Blackburn,Blackburn College
Bloomfield,Bloomfield College
Bloomsburg,Bloomsburg University
Bluefield St.,Bluefield State College
Bluffton,Bluffton University
Boise St.,Boise State University

