Emory,Emory University
Emory & Henry,Emory and Henry College
Emporia St.,Emporia State University
Endicott,Endicott College
Erskine,Erskine College
Eureka,Eureka College
Evansville,University of Evansville
Evergreen St.,Evergreen St.
Fairfield,Fairfield University
Fairmont St.,Fairmont State University
Farmingdale St.,Farmingdale State College
Fayetteville St.,Fayetteville State University
FDU,FDU
FDU-Florham,Fairleigh Dickinson Univ., Florham
Felician,Felician College
Ferris St.,Ferris State University
Ferrum,Ferrum College
FGCU,Florida Gulf Coast University
Findlay,University of Findlay
Finlandia,Finlandia University
Fisk,Fisk University
Fitchburg St.,Fitchburg State University
FIU,Florida International University
Florida Atlantic,Florida Atlantic University
Fla. Southern,Florida Southern College
Flagler,Flagler College
Florida,University of Florida
Florida A&M,Florida A&M University
Florida St.,Florida State University
Florida Tech,Florida Tech
Fontbonne,Fontbonne University
Fordham,Fordham University
Fort Hays St.,Fort Hays State University
Fort Lewis,Fort Lewis College
Fort Valley St.,Fort Valley State University
Framingham St.,Framingham State University
Francis Marion,Francis Marion University
Franciscan,Franciscan Univ. of Steubenville
Frank. & Marsh.,Franklin & Marshall College
Franklin,Franklin College
Franklin Pierce,Franklin Pierce University
Fredonia,SUNY at Fredonia
Fresno Pacific,Fresno Pacific University
Fresno St.,Fresno State
Frostburg St.,Frostburg State University
Furman,Furman University
Georgia Southern,Georgia Southern University
Ga. Southwestern,Georgia Southwestern State Univ.
Gallaudet,Gallaudet University
Gannon,Gannon University
Gardner-Webb,Gardner-Webb University
Geneva,Geneva College
George Fox,George Fox University
George Mason,George Mason University
George Washington,George Washington University
Georgetown,Georgetown University
Georgia,University of Georgia
Georgia College,Georgia College
Georgia St.,Georgia State University
Georgia Tech,Georgia Tech
Georgian Court,Georgian Court University
Gettysburg,Gettysburg College
Glenville St.,Glenville State College
Goldey-Beacom,Goldey-Beacom College
Gonzaga,Gonzaga University
Gordon,Gordon College
Goucher,Goucher College
Grambling,Grambling State University
Grand Canyon,Grand Canyon University
Grand Valley St.,Grand Valley State University
Green Bay,University of Wisconsin, Green Bay
Green Mountain,Green Mountain College
Greensboro,Greensboro College
Greenville,Greenville University
Grinnell,Grinnell College
Grove City,Grove City College
Augusta University,Augusta University
Guilford,Guilford College
Gust. Adolphus,Gustavus Adolphus College
Gwynedd-Mercy,Gwynedd-Mercy College
Hamilton,Hamilton College
Hamline,Hamline University
Hampden-Sydney,Hampden-Sydney College
Hampton,Hampton University
Hanover,Hanover College
Hardin-Simmons,Hardin-Simmons University
Harding,Harding University
Hartford,University of Hartford
Hartwick,Hartwick College
Harvard,Harvard University
Haverford,Haverford College
Hawaii,University of Hawaii, Manoa
Hawaii Hilo,University of Hawaii at Hilo
Hawaii Pacific,Hawaii Pacific University
Heidelberg,Heidelberg University
Henderson St.,Henderson State University
Hendrix,Hendrix College
High Point,High Point University
Hilbert,Hilbert College
Hillsdale,Hillsdale College
Hiram,Hiram College
Hobart,Hobart College
Hofstra,Hofstra University
Hollins,Hollins University
Holy Cross,College of the Holy Cross
Holy Family,Holy Family University
Holy Names,Holy Names University
Hood,Hood College
Hope,Hope College
Houghton,Houghton College
Houston,University of Houston
Houston Christian,Houston Christian University
Howard,Howard University
Howard Payne,Howard Payne University
Cal Poly Humboldt,California State Polytechnic University, Humboldt
Hunter,Hunter College
Huntingdon,Huntingdon College
Husson,Husson University
Idaho,University of Idaho
Idaho St.,Idaho State University
Illinois Tech,Illinois Tech
Ill.-Chicago,University of Illinois-Chicago
Ill.- Springfield,University of Illinois-Springfield
Ill. Wesleyan,Illinois Wesleyan University
Illinois,University of Illinois
Illinois Col.,Illinois College
Illinois St.,Illinois State University
Immaculata,Immaculata University
UIW,University of the Incarnate Word
Indiana,Indiana University, Bloomington
Indiana (PA),Indiana University of Pennsylvania
Indiana St.,Indiana State University
Indianapolis,University of Indianapolis
Iona,Iona College
Iowa,University of Iowa
Iowa St.,Iowa State University
Iowa Wesleyan,Iowa Wesleyan University
Purdue University Fort Wayne,Purdue University Fort Wayne
Ithaca,Ithaca College
IU Indy,Indiana University Indianapolis
Jackson St.,Jackson State University
Jacksonville,Jacksonville University
Jacksonville St.,Jacksonville State University
James Madison,James Madison University
Jessup University,Jessup University
John Carroll,John Carroll University
John Jay,John Jay College of Criminal Justice
Johns Hopkins,Johns Hopkins University
Johnson C. Smith,Johnson C. Smith University
Johnson St.,Johnson State College
Johnson & Wales (RI),Johnson and Wales University
Juniata,Juniata College
Johnson & Wales (Denver),Johnson & Wales University (Denver)
Kalamazoo,Kalamazoo College
Kansas,University of Kansas
Kansas St.,Kansas State University
Kean,Kean University
Keene St.,Keene State College
Kennesaw St.,Kennesaw State University
Kent St.,Kent State University
Kentucky,University of Kentucky
Kentucky St.,Kentucky State University
Kenyon,Kenyon College
Keuka,Keuka College
Keystone,Keystone College
King (TN),King University
King's (PA),King's College
Knox,Knox College
Kutztown,Kutztown University
Ky. Wesleyan,Kentucky Wesleyan College
La.-Lafayette,University of Louisiana at Lafayette
La.-Monroe,University of Louisiana at Monroe
La Roche,La Roche College
La Salle,La Salle University
La Sierra,La Sierra University
La Verne,University of La Verne
Lafayette,Lafayette College
LaGrange,LaGrange College
Lake Erie,Lake Erie College
Lake Forest,Lake Forest College
Lake Superior St.,Lake Superior State University
Lakeland,Lakeland College
Lamar,Lamar University
Lambuth,Lambuth University
Lancaster Bible,Lancaster Bible College
Lander,Lander University
Lane,Lane College
Langston,Langston University
Lasell,Lasell University
Lawrence,Lawrence University
Le Moyne,Le Moyne College
Lebanon Valley,Lebanon Valley College
Lee,Lee University
Lees-McRae,Lees-McRae College
Lehigh,Lehigh University
Lehman,Lehman College
LeMoyne-Owen,LeMoyne-Owen College
Lenoir-Rhyne,Lenoir-Rhyne University
Lesley,Lesley University
LeTourneau,LeTourneau University

