Penn College,Penn College of Technology
Pepperdine,Pepperdine University
Pfeiffer,Pfeiffer University
Jefferson University,Thomas Jefferson University
Piedmont,Piedmont College
Pine Manor,Pine Manor College
Pitt.-Bradford,University of Pittsburgh, Bradford
Rhodes,Rhodes College
Rice,Rice University
Stockton,Stockton University
Richmond,University of Richmond
Rider,Rider University
Ripon,Ripon College
Rivier,Rivier University
Roanoke,Roanoke College
Robert Morris,Robert Morris University
Roberts Wesleyan,Roberts Wesleyan University
Rochester Inst.,Rochester Institute of Technology
Rochester (NY),University of Rochester
Rockford,Rockford University
Rockhurst,Rockhurst University
Roger Williams,Roger Williams University
Rogers State,Rogers State University
Rollins,Rollins College
Roosevelt University,Roosevelt University
Rose-Hulman,Rose-Hulman Institute of Technology
Rosemont,Rosemont College
Rowan,Rowan University
Rust,Rust College
Rutgers,Rutgers University
Rutgers-Camden,Rutgers University, Camden
Rutgers-Newark,Rutgers University, Newark
Sacramento St.,Sacramento State University
Sacred Heart,Sacred Heart University
Sage Colleges,The Sage Colleges
Saginaw Valley,Saginaw Valley State University
St. John's (MN),St. John's University (Minn.)
Saint Joseph's,Saint Joseph's University
St. Leo,Saint Leo University
St. Louis,Saint Louis University
Saint-Martins,Saint Martin's University
St. Michael's,Saint Michael's College
Saint Rose,Saint Rose
St. Vincent,Saint Vincent College
Salem,Salem College
Salem University,Salem University
Salem St.,Salem State University
Salisbury,Salisbury University
Salve Regina,Salve Regina University
Sam Houston St.,Sam Houston State University
Samford,Samford University
San Diego,University of San Diego
San Diego St.,San Diego State University
San Fran. St.,San Francisco State University
San Francisco,University of San Francisco
San Jose St.,San Jose State University
Santa Clara,Santa Clara University
Sarah Lawrence,Sarah Lawrence College
Savannah St.,Savannah State University
South-Carolina-Aiken,University of South Carolina Aiken
SCAD,Savannah College of Art & Design
Schreiner,Schreiner University
Scranton,University of Scranton
Seattle,Seattle University
Seattle Pacific,Seattle Pacific University
Seton Hall,Seton Hall University
Seton Hill,Seton Hill University
Sewanee,The University of the South
Shaw,Shaw University
Shenandoah,Shenandoah University
Shepherd,Shepherd University
Shippensburg,Shippensburg University
Shorter,Shorter University
Siena,Siena College
Simmons,Simmons College
Simon Fraser,Simon Fraser University
Simpson,Simpson College
Sioux Falls,University of Sioux Falls
SIUE,Southern Illinois Univ.-Edwardsville
Skidmore,Skidmore College
Slippery Rock,Slippery Rock University
Smith,Smith College
SMU,Southern Methodist University
Sonoma St.,Sonoma State University
South Ala.,University of South Alabama
South Carolina,University of South Carolina
South Carolina St.,South Carolina State University
South Dakota,University of South Dakota
South Dakota Mines,South Dakota (Mines)
South Dakota St.,South Dakota State University
South Fla.,University of South Florida
Southampton,Southampton Campus of LIU
Southeast Mo. St.,Southeast Missouri State University
Southeastern La.,Southeastern Louisiana University
Southeastern Okla.,Southeastern Oklahoma State Univ.
Southern Ark.,Southern Arkansas University
Southern California,University of Southern California
Southern Conn. St.,Southern Connecticut St. University
Southern Ill.,Southern Illinois University
Southern Ind.,University of Southern Indiana
Southern Me.,University of Southern Maine
Southern Miss.,The University of Southern Mississippi
Southern Nazarene,Southern Nazarene University
Southern N.H.,Southern New Hampshire University
Southern U.,Southern University
Southern Utah,Southern Utah University
Southern Virginia,Southern Virginia University
Southern Vt.,Southern Vermont College
Southern Wesleyan,Southern Wesleyan University
Southwest Baptist,Southwest Baptist University
Southwest Minn. St.,Southwest Minnesota St. University
Southwestern Okla.,Southwestern Oklahoma State Univ.
Southwestern (TX),Southwestern University
Spalding,Spalding University
Spelman,Spelman College
Spring Hill,Spring Hill College
Springfield,Springfield College
St. Andrews,St. Andrews Presbyterian College
St. Anselm,Saint Anselm College
St. Augustine's,St. Augustine's University
Saint Benedict,College of Saint Benedict
St. Bonaventure,St. Bonaventure University
St. Catherine,St. Catherine University
St. Cloud State,St. Cloud State University
St. Edward's,St. Edward's University
St. Elizabeth,College of Saint Elizabeth
St. Francis (IL),University of St. Francis (Ill.)
St. Francis Brooklyn,St. Francis College Brooklyn
St. Francis (PA),Saint Francis University
St. John Fisher,St. John Fisher University
St. John's (NY),St. John's University (N.Y.)
St. Joseph (CT),University of Saint Joseph (Conn.)
St. Joseph's (Brkln),St. Joseph's University, New York (Brooklyn)
St. Joseph's (IN),Saint Joseph's College (Ind.)
St. Joseph's (L.I.),St. Joseph's University (Long Island)
St. Joseph's (Me.),Saint Joseph's College (Maine)
St. Lawrence,St. Lawrence University
Saint-Mary's (CA),St. Mary's College (CA)
Saint-Mary's (IN),Saint Mary's College (IN)
Saint-Mary's (MD),St. Mary's College (MD)
Saint Mary's (Minn.),Saint Mary's University (Minn.)
St. Mary's (TX),St. Mary's University (Texas)
St. Norbert,St. Norbert College
St. Olaf,St. Olaf College
St. Paul's,St. Paul's College
Saint Peter's,Saint Peter's University
St. Scholastica,College of St. Scholastica
St. Thomas Aquinas,St. Thomas Aquinas College
St. Thomas (FL),St. Thomas University
St. Thomas (MN),University of St. Thomas (Minn.)
St. Thomas Houston,St. Thomas Houston
Stanford,Stanford University
Staten Island,College of Staten Island
Stephen F. Austin,Stephen F. Austin State University
Stephens,Stephens College
Stetson,Stetson University
Stevens,Stevens Institute of Technology
Stevenson,Stevenson University
Stillman,Stillman College
Stonehill,Stonehill College
Stony Brook,Stony Brook University
Suffolk,Suffolk University
Sul Ross St.,Sul Ross State University
SUNY Brockport,State University of New York Brockport
SUNY Canton,SUNY Canton
SUNY Cortland,SUNY, Cortland
SUNY Delhi,SUNY Delhi
SUNY Geneseo,SUNY, Geneseo
SUNY Maritime,SUNY Maritime College
State University of New York at Morrisville,State University of New York at Morrisville
SUNY New Paltz,SUNY New Paltz
SUNY Potsdam,SUNY, Potsdam
SUNY Poly,SUNY Polytechnic Institute
Susquehanna,Susquehanna University
Swarthmore,Swarthmore College
Sweet Briar,Sweet Briar College
Syracuse,Syracuse University
Tampa,University of Tampa
Tarleton St.,Tarleton State University
TCNJ,The College of New Jersey
TCU,Texas Christian University
Temple,Temple University
Tennessee,University of Tennessee
Tennessee St.,Tennessee State University
Tennessee Tech,Tennessee Technological University
Tex. A&M Int'l,Texas A&M International University
Tex. A&M-Kingsville,Texas A&M-Kingsville
Texas of the Permian Basin,Texas of the Permian Basin
Texas,University of Texas
Texas A&M,Texas A&M University
Texas at Arlington,University of Texas at Arlington
Texas at Dallas,University of Texas at Dallas
Texas Lutheran,Texas Lutheran University
Texas Southern,Texas Southern University
Texas St.,Texas State University
Texas Tech,Texas Tech University
Texas at Tyler,University of Texas at Tyler
Texas Wesleyan,Texas Wesleyan University
Texas Woman's,Texas Woman's University
Thiel,Thiel College
Thomas (ME),Thomas College
Thomas More,Thomas More University
Tiffin,Tiffin University
Toledo,University of Toledo
Towson,Towson University
Transylvania,Transylvania University
Trevecca Nazarene,Trevecca Nazarene University
Pitt.-Greensburg,University of Pittsburgh-Greensburg
Pitt.-Johnstown,University of Pittsburgh-Johnstown
Pittsburg State,Pittsburg State University
Pittsburgh,University of Pittsburgh
Plattsburgh State,Plattsburgh State University
Plymouth St.,Plymouth State University
Point Loma,Point Loma
Polytechnic (NY),Polytechnic Institute of New York University
Pomona-Pitzer,Pomona-Pitzer Colleges
Portland,University of Portland
Portland St.,Portland State University
Post,Post University
P.R.-Bayamon,University of Puerto Rico-Bayamon
P.R.-Cayey,University of Puerto Rico, Cayey
P.R.-Humacao,University of Puerto Rico, Humacao
P.R.-Mayaguez,University of Puerto Rico-Mayaguez Campus
P.R.-Rio Piedras,University of Puerto Rico-Rio Piedras
Prairie View,Prairie View A&M University
Pratt Institute,Pratt Institute
Presbyterian,Presbyterian College
Presentation,Presentation College
Princeton,Princeton University
Principia,Principia College
Providence,Providence College
Puget Sound,University of Puget Sound
Purchase,Purchase College-SUNY
Purdue,Purdue University
Purdue Northwest,Purdue University Northwest
Queens (NC),Queens University of Charlotte
Queens (NY),Queens College
Quincy,Quincy University
Quinnipiac,Quinnipiac University
Radford,Radford University
Ramapo,Ramapo College
Randolph,Randolph College
Randolph-Macon,Randolph-Macon College
Redlands,University of Redlands
Regis (CO),Regis University
Regis College,Regis College
Reneau University,Reneau University
Rensselaer,Rensselaer Polytechnic Institute
Rhode Island,University of Rhode Island
Rhode Island Col.,Rhode Island College

