Trine,Trine University
Trinity (CT),Trinity College (CT)
Trinity (TX),Trinity University (Texas)
Trinity Washington,Trinity Washington University
Troy,Troy University
Truman,Truman State University
Tufts,Tufts University
Tulane,Tulane University
Tulsa,The University of Tulsa
Tusculum,Tusculum College
Tuskegee,Tuskegee University
New-England,University of New England
UAB,UAB
Little-Rock,Little Rock
Colo-Springs,Univ. of Colorado-Colorado Springs
UC Davis,UC Davis
UC Irvine,UC Irvine
UC Riverside,UC Riverside
UC San Diego,UC San Diego
UC Santa Barbara,UC Santa Barbara
UC Santa Cruz,UC Santa Cruz
UCF,University of Central Florida
UCLA,UCLA
Connecticut,University of Connecticut
Mass.-Boston,UMass Boston
Mass.-Dartmouth,UMass Dartmouth
Mass.-Lowell,UMass Lowell
Maryland-Baltimore-County,UMBC
Kansas City,University of Missouri-Kansas City
UNC Asheville,UNC Asheville
UNC Greensboro,UNC Greensboro
UNC Pembroke,UNC Pembroke
UNCW,UNC Wilmington
Northern Iowa,University of Northern Iowa
Union (NY),Union College (N.Y.)
Union (Tenn.),Union University (Tenn.)
UNLV,UNLV
Upper Iowa,Upper Iowa University
Urbana University,Urbana University
Ursinus,Ursinus College
Ursuline,Ursuline College
USC Beaufort,University of South Carolina Beaufort
South-Carolina-Upstate,University of South Carolina Upstate
Tenn-Martin,University of Tennessee at Martin
Utah,University of Utah
Utah St.,Utah State University
Utah Tech,Utah Tech University
Utah Valley,Utah Valley University
Texas at El Paso,University of Texas at El Paso
Utica,Utica College
Texas Rio Grande Valley,University of Texas Rio Grande Valley
Texas at San Antonio,University of Texas at San Antonio
Virginia-Wise,Virginia's College at Wise
Virg-Wesleyan,Virginia Wesleyan College
Valdosta St.,Valdosta State University
Valley Forge,University of Valley Forge
Valparaiso,Valparaiso University
Vanderbilt,Vanderbilt University
Vassar,Vassar College
VCU,Virginia Commonwealth University
Vermont,University of Vermont
Villanova,Villanova University
Virginia,University of Virginia
Virginia St.,Virginia State University
Virginia Tech,Virginia Tech
Virginia Union,Virginia Union University
VMI,Virginia Military Institute
Wabash,Wabash College
Wagner,Wagner College
Wake Forest,Wake Forest University
Walsh,Walsh University
Warren Wilson College,Warren Wilson College
Wartburg,Wartburg College
Wash. & Jeff.,Washington and Jefferson College
Wash. & Lee,Washington and Lee University
Washburn,Washburn University of Topeka
Washington,University of Washington
Washington Adventist,Washington Adventist University
Washington Col.,Washington College
Washington St.,Washington State University
Washington-St. Louis,Washington University (Missouri)
Wayne St. (MI),Wayne State University
Wayne St. (NE),Wayne State College
Waynesburg,Waynesburg University
Weber St.,Weber State University
Webster,Webster University
Wellesley,Wellesley College
Wells,Wells College
Wentworth Inst.,Wentworth Institute of Technology
Wesley,Wesley College
Wesleyan (CT),Wesleyan University
Wesleyan (GA),Wesleyan College
West Ala.,University of West Alabama
West Chester,West Chester Univ. of Pennsylvania
West Fla.,University of West Florida
West Ga.,University of West Georgia
West Liberty,West Liberty University
West Tex. A&M,West Texas A&M University
West Va. Tech,West Virginia Univ. Inst. of Tech.
West Va. Wesleyan,West Virginia Wesleyan College
West Virginia,West Virginia University
West Virginia St.,West Virginia State University
Western Caro.,Western Carolina University
Western Conn. St.,Western Connecticut State University
Western Ill.,Western Illinois University
Western Ky.,Western Kentucky University
Western Mich.,Western Michigan University
Western New Eng.,Western New England University
Western N.M.,Western New Mexico University
Western Ore.,Western Oregon University
Western Colo.,Western Colorado University
Western Wash.,Western Washington University
Westfield St.,Westfield State University
Westminster (MO),Westminster College (Mo.)
Westminster (PA),Westminster College (Pa.)
Westminster (UT),Westminster University
Westmont College,Westmont College
Wheaton (IL),Wheaton College (Ill.)
Wheaton (MA),Wheaton College (Mass.)
Wheeling Jesuit,Wheeling Jesuit University
Wheelock,Wheelock College
Whitman,Whitman College
Whittier,Whittier College
Whitworth,Whitworth University
Wichita St.,Wichita State University
Widener,Widener University
Wilkes,Wilkes University
Willamette,Willamette University
William Jewell,William Jewell College
William & Mary,College of William and Mary
William Peace,William Peace University
William Penn,William Penn College
William Smith,William Smith College
Williams,Williams College
Wilmington (DE),Wilmington University
Wilmington (OH),Wilmington College
Wilson,Wilson College
Wingate,Wingate University
Winona St.,Winona State University
Winston-Salem,Winston-Salem State University
Winthrop,Winthrop University
Wis.-Eau Claire,University of Wisconsin-Eau Claire
Wis.-La Crosse,University of Wisconsin-La Crosse
Wis. Lutheran,Wisconsin Lutheran College
Wis.-Oshkosh,University of Wisconsin-Oshkosh
Wis.-Parkside,University of Wisconsin, Parkside
Wis.-Platteville,University of Wisconsin-Platteville
Wis.-River Falls,University of Wisconsin-River Falls
Wis.-Stevens Point,Univ. of Wisconsin-Stevens Point
Wis.-Stout,University of Wisconsin-Stout
Wis.-Superior,University of Wisconsin-Superior
Wis.-Whitewater,University of Wisconsin-Whitewater
Wisconsin,University of Wisconsin, Madison
Wittenberg,Wittenberg University
William Paterson,William Paterson University
Wofford,Wofford College
Wooster,College of Wooster
Worcester St.,Worcester State University
WPI,Worcester Polytechnic Institute
Wright St.,Wright State University
Wyoming,University of Wyoming
Xavier,Xavier University
Yale,Yale University
Yeshiva,Yeshiva University
York (NY),York College (N.Y.)
York (PA),York College (Pa.)
Young Harris,Young Harris College
Youngstown St.,Youngstown State University

